pk_report_stock_balance,sort_key_report_stock_balance,c_des1,c_des2,diff_day,docno,first_recdate,GSI_ItemDate_Doc,GSI_PreEvent2,GSI_Wh_Prein_Item_Date_Doc,GSI_Whcode,itemcode,itemno,maincode,pre_event2,qtybal,qtyin,qtyout,seriesno,unitname,whcode
MG1#2021064#I-2021064-00116#1#1#P2000100200000,MG1#2021064#I-2021064-00116#1#1#P2000100200000,ดินปนทราย,,550,I-2021064-00116,2024-03-23,P2000100200000#2024-03-23#I-2021064-00116#1#1,2021064,2021064#P2000100200000#2024-03-23#I-2021064-00116#1#1,006,P2000100200000,1,MG1,2021064,12,12,0,1,ลบ.ม.,006
MG1#2023097#I-2023097-00002#3#1#P2000101300000,MG1#2023097#I-2023097-00002#3#1#P2000101300000,ทรายหยาบ,,849,I-2023097-00002,2023-05-29,P2000101300000#2023-05-29#I-2023097-00002#3#1,2023097,2023097#P2000101300000#2023-05-29#I-2023097-00002#3#1,WH-001,P2000101300000,3,MG1,2023097,13,20,7,1,ลบ.ม.,WH-001
MG1#2021011#I-2021011-00001#20#1#A1050104300000,MG1#2021011#I-2021011-00001#20#1#A1050104300000,ตู้สำนักงาน,,839,I-2021011-00001,2023-06-08,A1050104300000#2023-06-08#I-2021011-00001#20#1,2021011,2021011#A1050104300000#2023-06-08#I-2021011-00001#20#1,001,A1050104300000,20,MG1,2021011,15,15,0,1,ตู้,001
MG1#2021036#T-2021113-00002#3#1#P2400100300100,MG1#2021036#T-2021113-00002#3#1#P2400100300100,ตะปูตอกไม้,"""1""""""",1632,T-2021113-00002,2021-04-06,P2400100300100#2021-04-06#T-2021113-00002#3#1,2021036,2021036#P2400100300100#2021-04-06#T-2021113-00002#3#1,,P2400100300100,3,MG1,2021036,19.8879,19.8879,0,1,kg/กก.,
MG3#2021001#I-2021001-00061#19#1#9GFL0010300202,MG3#2021001#I-2021001-00061#19#1#9GFL0010300202,ARMALON NG,"""2MM GAUGE, 1.83M WIDE""",587,I-2021001-00061,2024-02-15,9GFL0010300202#2024-02-15#I-2021001-00061#19#1,2021001,2021001#9GFL0010300202#2024-02-15#I-2021001-00061#19#1,001,9GFL0010300202,19,MG3,2021001,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#511#1#P2100100201400,MG1#2021093#I-2021093-00548#511#1#P2100100201400,ไม้สน,"""ขนาด 4""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201400#2024-09-06#I-2021093-00548#511#1,2021093,2021093#P2100100201400#2024-09-06#I-2021093-00548#511#1,001,P2100100201400,511,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#467#1#P3100100501000,MG1#2021093#I-2021093-00548#467#1#P3100100501000,กระเบื้องยางลายไม้,"""ขนาด 12""""x12"""" หนา 2 มม.""",383,I-2021093-00548,2024-09-06,P3100100501000#2024-09-06#I-2021093-00548#467#1,2021093,2021093#P3100100501000#2024-09-06#I-2021093-00548#467#1,001,P3100100501000,467,MG1,2021093,20,20,0,1,ตร.ม.,001
MG1#2021093#I-2021093-00548#481#1#P2100100101200,MG1#2021093#I-2021093-00548#481#1#P2100100101200,ไม้ยูคาลิปตัส,"""ขนาด 2 1/2""""ยาว 3.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100101200#2024-09-06#I-2021093-00548#481#1,2021093,2021093#P2100100101200#2024-09-06#I-2021093-00548#481#1,001,P2100100101200,481,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#317#1#9GFL0025100202,MG3#2021001#I-2021001-00061#317#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",587,I-2021001-00061,2024-02-15,9GFL0025100202#2024-02-15#I-2021001-00061#317#1,2021001,2021001#9GFL0025100202#2024-02-15#I-2021001-00061#317#1,001,9GFL0025100202,317,MG3,2021001,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#1146#1#P2100100101900,MG1#2021093#I-2021093-00548#1146#1#P2100100101900,ไม้ยูคาลิปตัส,"""ขนาด 4""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100101900#2024-09-06#I-2021093-00548#1146#1,2021093,2021093#P2100100101900#2024-09-06#I-2021093-00548#1146#1,001,P2100100101900,1146,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#121#1#A1000100100000,MG3#2021001#I-2021001-00061#121#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),587,I-2021001-00061,2024-02-15,A1000100100000#2024-02-15#I-2021001-00061#121#1,2021001,2021001#A1000100100000#2024-02-15#I-2021001-00061#121#1,001,A1000100100000,121,MG3,2021001,20,20,0,1,ไร่,001
MG1#2021093#I-2021093-00548#315#1#P2100100200600,MG1#2021093#I-2021093-00548#315#1#P2100100200600,ไม้สน,"""ขนาด 2.5""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100200600#2024-09-06#I-2021093-00548#315#1,2021093,2021093#P2100100200600#2024-09-06#I-2021093-00548#315#1,001,P2100100200600,315,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#214#1#9GFL0025100202,MG3#2021001#I-2021001-00061#214#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",587,I-2021001-00061,2024-02-15,9GFL0025100202#2024-02-15#I-2021001-00061#214#1,2021001,2021001#9GFL0025100202#2024-02-15#I-2021001-00061#214#1,001,9GFL0025100202,214,MG3,2021001,20,20,0,1,SQM,001
MG5#2021004#I-2021004-00042#1#1#P2400104000700,MG5#2021004#I-2021004-00042#1#1#P2400104000700,น้ำมันเชื้อเพลิง,แก๊สโซฮอล 95,838,I-2021004-00042,2023-06-09,P2400104000700#2023-06-09#I-2021004-00042#1#1,2021004,2021004#P2400104000700#2023-06-09#I-2021004-00042#1#1,001,P2400104000700,1,MG5,2021004,20,20,0,1,ลิตร,001
MG1#2021093#I-2021093-00548#605#1#P2100100201400,MG1#2021093#I-2021093-00548#605#1#P2100100201400,ไม้สน,"""ขนาด 4""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201400#2024-09-06#I-2021093-00548#605#1,2021093,2021093#P2100100201400#2024-09-06#I-2021093-00548#605#1,001,P2100100201400,605,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#62#1#P2100100301300,MG1#2021093#I-2021093-00548#62#1#P2100100301300,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x3"""" ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100301300#2024-09-06#I-2021093-00548#62#1,2021093,2021093#P2100100301300#2024-09-06#I-2021093-00548#62#1,001,P2100100301300,62,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#37#1#A1000100100000,MG3#2021001#I-2021001-00061#37#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),587,I-2021001-00061,2024-02-15,A1000100100000#2024-02-15#I-2021001-00061#37#1,2021001,2021001#A1000100100000#2024-02-15#I-2021001-00061#37#1,001,A1000100100000,37,MG3,2021001,20,20,0,1,ไร่,001
MG5#2021004#I-2021004-00085#353#1#FGFL0020100100,MG5#2021004#I-2021004-00085#353#1#FGFL0020100100,Armstrong Pastell Conductive,2.2mm 1.83x25M @ 45.75sqm,586,I-2021004-00085,2024-02-16,FGFL0020100100#2024-02-16#I-2021004-00085#353#1,2021004,2021004#FGFL0020100100#2024-02-16#I-2021004-00085#353#1,001,FGFL0020100100,353,MG5,2021004,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#268#1#P2100100800202,MG1#2021093#I-2021093-00548#268#1#P2100100800202,ไม้ระแนง,"""ขนาด 1""""x6""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100800202#2024-09-06#I-2021093-00548#268#1,2021093,2021093#P2100100800202#2024-09-06#I-2021093-00548#268#1,001,P2100100800202,268,MG1,2021093,20,20,0,1,แผ่น12345,001
MG1#2021093#I-2021093-00548#905#1#P2100100301000,MG1#2021093#I-2021093-00548#905#1#P2100100301000,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x3""""ยาว 3.50 ม.""",383,I-2021093-00548,2024-09-06,P2100100301000#2024-09-06#I-2021093-00548#905#1,2021093,2021093#P2100100301000#2024-09-06#I-2021093-00548#905#1,001,P2100100301000,905,MG1,2021093,20,20,0,1,ท่อน,001
MG5#2021004#I-2021004-00085#398#1#9GFL0025100202,MG5#2021004#I-2021004-00085#398#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",586,I-2021004-00085,2024-02-16,9GFL0025100202#2024-02-16#I-2021004-00085#398#1,2021004,2021004#9GFL0025100202#2024-02-16#I-2021004-00085#398#1,001,9GFL0025100202,398,MG5,2021004,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#151#1#P2100100300800,MG1#2021093#I-2021093-00548#151#1#P2100100300800,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x3"""" ยาว 2.50 ม.""",383,I-2021093-00548,2024-09-06,P2100100300800#2024-09-06#I-2021093-00548#151#1,2021093,2021093#P2100100300800#2024-09-06#I-2021093-00548#151#1,001,P2100100300800,151,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#884#1#P2100100201100,MG1#2021093#I-2021093-00548#884#1#P2100100201100,ไม้สน,"""ขนาด 3""""ยาว 6.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201100#2024-09-06#I-2021093-00548#884#1,2021093,2021093#P2100100201100#2024-09-06#I-2021093-00548#884#1,001,P2100100201100,884,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021152#T-2021137-00006#1#1#P3000100200100,MG1#2021152#T-2021137-00006#1#1#P3000100200100,อิฐมอญรู 4 รู,มอก.,1511,T-2021137-00006,2021-08-05,P3000100200100#2021-08-05#T-2021137-00006#1#1,2021152,2021152#P3000100200100#2021-08-05#T-2021137-00006#1#1,11011001,P3000100200100,1,MG1,2021152,20,20,0,1,ก้อน,11011001
MG1#2021093#I-2021093-00548#1526#1#P2100100102300,MG1#2021093#I-2021093-00548#1526#1#P2100100102300,ไม้ยูคาลิปตัส,"""ขนาด 5""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100102300#2024-09-06#I-2021093-00548#1526#1,2021093,2021093#P2100100102300#2024-09-06#I-2021093-00548#1526#1,001,P2100100102300,1526,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#7#1#9GFL0010300202,MG3#2021001#I-2021001-00061#7#1#9GFL0010300202,ARMALON NG,"""2MM GAUGE, 1.83M WIDE""",587,I-2021001-00061,2024-02-15,9GFL0010300202#2024-02-15#I-2021001-00061#7#1,2021001,2021001#9GFL0010300202#2024-02-15#I-2021001-00061#7#1,001,9GFL0010300202,7,MG3,2021001,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#607#1#P2100100201600,MG1#2021093#I-2021093-00548#607#1#P2100100201600,ไม้สน,"""ขนาด 5""""ยาว 6.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201600#2024-09-06#I-2021093-00548#607#1,2021093,2021093#P2100100201600#2024-09-06#I-2021093-00548#607#1,001,P2100100201600,607,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#1163#1#P2100100200800,MG1#2021093#I-2021093-00548#1163#1#P2100100200800,ไม้สน,"""ขนาด 3""""ยาว 3.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100200800#2024-09-06#I-2021093-00548#1163#1,2021093,2021093#P2100100200800#2024-09-06#I-2021093-00548#1163#1,001,P2100100200800,1163,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#1087#1#P2100100300400,MG1#2021093#I-2021093-00548#1087#1#P2100100300400,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x1.5""""ยาว 2.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100300400#2024-09-06#I-2021093-00548#1087#1,2021093,2021093#P2100100300400#2024-09-06#I-2021093-00548#1087#1,001,P2100100300400,1087,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#58#1#9GFL0025100202,MG3#2021001#I-2021001-00061#58#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",587,I-2021001-00061,2024-02-15,9GFL0025100202#2024-02-15#I-2021001-00061#58#1,2021001,2021001#9GFL0025100202#2024-02-15#I-2021001-00061#58#1,001,9GFL0025100202,58,MG3,2021001,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#255#1#P2100100500100,MG1#2021093#I-2021093-00548#255#1#P2100100500100,ไม้กระดาน,"""ขนาด 1""""x6""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100500100#2024-09-06#I-2021093-00548#255#1,2021093,2021093#P2100100500100#2024-09-06#I-2021093-00548#255#1,001,P2100100500100,255,MG1,2021093,20,20,0,1,แผ่น12345,001
MG1#2021093#I-2021093-00548#1436#1#P2100100102700,MG1#2021093#I-2021093-00548#1436#1#P2100100102700,ไม้ยูคาลิปตัส,"""ขนาด 6""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100102700#2024-09-06#I-2021093-00548#1436#1,2021093,2021093#P2100100102700#2024-09-06#I-2021093-00548#1436#1,001,P2100100102700,1436,MG1,2021093,20,20,0,1,ท่อน,001
MG5#2021004#I-2021004-00085#181#1#A1000100100000,MG5#2021004#I-2021004-00085#181#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),586,I-2021004-00085,2024-02-16,A1000100100000#2024-02-16#I-2021004-00085#181#1,2021004,2021004#A1000100100000#2024-02-16#I-2021004-00085#181#1,001,A1000100100000,181,MG5,2021004,20,20,0,1,ไร่,001
MG5#2021004#I-2021004-00082#1#1#P2000100200000,MG5#2021004#I-2021004-00082#1#1#P2000100200000,ดินปนทราย,,588,I-2021004-00082,2024-02-14,P2000100200000#2024-02-14#I-2021004-00082#1#1,2021004,2021004#P2000100200000#2024-02-14#I-2021004-00082#1#1,001,P2000100200000,1,MG5,2021004,24.51,25.51,1,1,ลบ.ม.,001
MG5#2021004#I-2021004-00031#2#1#P2000100700000,MG5#2021004#I-2021004-00031#2#1#P2000100700000,หินคลุก,,931,I-2021004-00031,2023-03-08,P2000100700000#2023-03-08#I-2021004-00031#2#1,2021004,2021004#P2000100700000#2023-03-08#I-2021004-00031#2#1,001,P2000100700000,2,MG5,2021004,29,30,1,1,ลบ.ม.,001
MG1#2021142#I-2021142-00034#3#1#P4000100300801,MG1#2021142#I-2021142-00034#3#1#P4000100300801,บล็อคทางเท้า C-PAC ศิลาเหลี่ยมสีส้ม,20x20x6 ซม.,196,I-2021142-00034,2025-03-12,P4000100300801#2025-03-12#I-2021142-00034#3#1,2021142,2021142#P4000100300801#2025-03-12#I-2021142-00034#3#1,WH01,P4000100300801,3,MG1,2021142,30,30,0,1,ก้อน,WH01
MG1#2021093#I-2021093-00522#2#1#10300010100101,MG1#2021093#I-2021093-00522#2#1#10300010100101,ฝ้าลอย,Size 16 X 16,481,I-2021093-00522,2024-05-31,10300010100101#2024-05-31#I-2021093-00522#2#1,2021093,2021093#10300010100101#2024-05-31#I-2021093-00522#2#1,001,10300010100101,2,MG1,2021093,32,50,18,1,แผ่น12345,001
MG5#2021006#I-2021006-00015#38#1#P2000100400100,MG5#2021006#I-2021006-00015#38#1#P2000100400100,หิน,เบอร์ 1,725,I-2021006-00015,2023-09-30,P2000100400100#2023-09-30#I-2021006-00015#38#1,2021006,2021006#P2000100400100#2023-09-30#I-2021006-00015#38#1,W1,P2000100400100,38,MG5,2021006,32.25,32.25,0,1,ลบ.ม.,W1
MG1#2023123#I-2023123-00001#1#1#P2000101700000,MG1#2023123#I-2023123-00001#1#1#P2000101700000,หินกรวด (เม็ดใหญ่),,814,I-2023123-00001,2023-07-03,P2000101700000#2023-07-03#I-2023123-00001#1#1,2023123,2023123#P2000101700000#2023-07-03#I-2023123-00001#1#1,01,P2000101700000,1,MG1,2023123,35,50,15,1,กระสอบ,01
MG1#2022068#I-2022068-00001#2#1#P1050100100200,MG1#2022068#I-2022068-00001#2#1#P1050100100200,เหล็กเส้นกลม test,SR 24 RB9mm. ยาว 10.00 m.,814,I-2022068-00001,2023-07-03,P1050100100200#2023-07-03#I-2022068-00001#2#1,2022068,2022068#P1050100100200#2023-07-03#I-2022068-00001#2#1,001,P1050100100200,2,MG1,2022068,36,36,0,1,เส้น,001
MG1#2023153#I-2023153-00001#256#1#P1100100117200,MG1#2023153#I-2023153-00001#256#1#P1100100117200,เหล็กท่อดำ,139.8x5.0 mm.,762,I-2023153-00001,2023-08-24,P1100100117200#2023-08-24#I-2023153-00001#256#1,2023153,2023153#P1100100117200#2023-08-24#I-2023153-00001#256#1,001,P1100100117200,256,MG1,2023153,50,50,0,1,เส้น,001
MG1#2021035#I-2021035-00010#3#1#A1050100700000,MG1#2021035#I-2021035-00010#3#1#A1050100700000,กล้องเลเซอร์ ( Laser ),,1163,I-2021035-00010,2022-07-19,A1050100700000#2022-07-19#I-2021035-00010#3#1,2021035,2021035#A1050100700000#2022-07-19#I-2021035-00010#3#1,001,A1050100700000,3,MG1,2021035,50,50,0,1,ตัว,001
MG1#2023153#I-2023153-00001#2359#1#P2400103002600,MG1#2023153#I-2023153-00001#2359#1#P2400103002600,สายยาง/สายส่ง/สายรัดของ,"""เคเบิลไทร์ 8""""""",762,I-2023153-00001,2023-08-24,P2400103002600#2023-08-24#I-2023153-00001#2359#1,2023153,2023153#P2400103002600#2023-08-24#I-2023153-00001#2359#1,001,P2400103002600,2359,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#1474#1#P2400100601700,MG1#2023153#I-2023153-00001#1474#1#P2400100601700,เกียง/สามเหลี่ยมปาดปูน,สามเหลี่ยมปาดปูน 1.50 ม.,762,I-2023153-00001,2023-08-24,P2400100601700#2023-08-24#I-2023153-00001#1474#1,2023153,2023153#P2400100601700#2023-08-24#I-2023153-00001#1474#1,001,P2400100601700,1474,MG1,2023153,50,50,0,1,อัน,001
MG1#2023153#I-2023153-00001#933#1#P1100100906600,MG1#2023153#I-2023153-00001#933#1#P1100100906600,เหล็ก Flat Bar,100x12mm.6m. /เส้น,762,I-2023153-00001,2023-08-24,P1100100906600#2023-08-24#I-2023153-00001#933#1,2023153,2023153#P1100100906600#2023-08-24#I-2023153-00001#933#1,001,P1100100906600,933,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#1979#1#P2400102500800,MG1#2023153#I-2023153-00001#1979#1#P2400102500800,ผ้าใบ/กระดาษ/โฟม/ตาข่าย,ผ้าใบกันไฟ,762,I-2023153-00001,2023-08-24,P2400102500800#2023-08-24#I-2023153-00001#1979#1,2023153,2023153#P2400102500800#2023-08-24#I-2023153-00001#1979#1,001,P2400102500800,1979,MG1,2023153,50,50,0,1,ม้วน,001
MG1#2023153#I-2023153-00001#2640#1#P2400104502900,MG1#2023153#I-2023153-00001#2640#1#P2400104502900,ชุดปฐมพยาบาล,ยาขับลม Air-X,762,I-2023153-00001,2023-08-24,P2400104502900#2023-08-24#I-2023153-00001#2640#1,2023153,2023153#P2400104502900#2023-08-24#I-2023153-00001#2640#1,001,P2400104502900,2640,MG1,2023153,50,50,0,1,กล่อง,001
MG1#2023153#I-2023153-00001#580#1#P1100100502000,MG1#2023153#I-2023153-00001#580#1#P1100100502000,เหล็กรางน้ำ,250x90x11x14.5 mm.,762,I-2023153-00001,2023-08-24,P1100100502000#2023-08-24#I-2023153-00001#580#1,2023153,2023153#P1100100502000#2023-08-24#I-2023153-00001#580#1,001,P1100100502000,580,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#73#1#P1050100201100,MG1#2023153#I-2023153-00001#73#1#P1050100201100,เหล็กข้ออ้อย,SD 40 DB25mm.ยาว 12.00 m.,762,I-2023153-00001,2023-08-24,P1050100201100#2023-08-24#I-2023153-00001#73#1,2023153,2023153#P1050100201100#2023-08-24#I-2023153-00001#73#1,001,P1050100201100,73,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#543#1#P1100100401000,MG1#2023153#I-2023153-00001#543#1#P1100100401000,เหล็กตัวซี,C-75x45x15x3.2 mm.,762,I-2023153-00001,2023-08-24,P1100100401000#2023-08-24#I-2023153-00001#543#1,2023153,2023153#P1100100401000#2023-08-24#I-2023153-00001#543#1,001,P1100100401000,543,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#2228#1#P2400102706500,MG1#2023153#I-2023153-00001#2228#1#P2400102706500,ดอกสว่าน,"""ดอกสว่านเจาะเหล็ก 3/8""""""",762,I-2023153-00001,2023-08-24,P2400102706500#2023-08-24#I-2023153-00001#2228#1,2023153,2023153#P2400102706500#2023-08-24#I-2023153-00001#2228#1,001,P2400102706500,2228,MG1,2023153,50,50,0,1,ดอก,001
MG1#2023153#I-2023153-00001#2329#1#P2400102902400,MG1#2023153#I-2023153-00001#2329#1#P2400102902400,ซิลิโคน+ปืนยิง+กระบอกฉีด,กาวยาง DUNLOP,762,I-2023153-00001,2023-08-24,P2400102902400#2023-08-24#I-2023153-00001#2329#1,2023153,2023153#P2400102902400#2023-08-24#I-2023153-00001#2329#1,001,P2400102902400,2329,MG1,2023153,50,50,0,1,กระป๋อง,001
MG1#2023153#I-2023153-00001#349#1#P1100100201900,MG1#2023153#I-2023153-00001#349#1#P1100100201900,เหล็กกล่อง,50x20x1.8 mm.,762,I-2023153-00001,2023-08-24,P1100100201900#2023-08-24#I-2023153-00001#349#1,2023153,2023153#P1100100201900#2023-08-24#I-2023153-00001#349#1,001,P1100100201900,349,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#2669#1#P3000100500200,MG1#2023153#I-2023153-00001#2669#1#P3000100500200,บล็อคแก้ว,ขนาด 0.20x0.60 m.หนา 7 cm.,762,I-2023153-00001,2023-08-24,P3000100500200#2023-08-24#I-2023153-00001#2669#1,2023153,2023153#P3000100500200#2023-08-24#I-2023153-00001#2669#1,001,P3000100500200,2669,MG1,2023153,50,50,0,1,ก้อน,001
MG1#2023153#I-2023153-00001#1183#1#P2050100101900,MG1#2023153#I-2023153-00001#1183#1#P2050100101900,เสาเข็มตัวไอ,ขนาด 0.22x0.22 ม.ยาว 18 เมตร,762,I-2023153-00001,2023-08-24,P2050100101900#2023-08-24#I-2023153-00001#1183#1,2023153,2023153#P2050100101900#2023-08-24#I-2023153-00001#1183#1,001,P2050100101900,1183,MG1,2023153,50,50,0,1,ต้น,001
MG1#2023153#I-2023153-00001#2201#1#P2400102703800,MG1#2023153#I-2023153-00001#2201#1#P2400102703800,ดอกสว่าน,ดอกสว่านเจาะปูน ขนาด 28x210 มม.,762,I-2023153-00001,2023-08-24,P2400102703800#2023-08-24#I-2023153-00001#2201#1,2023153,2023153#P2400102703800#2023-08-24#I-2023153-00001#2201#1,001,P2400102703800,2201,MG1,2023153,50,50,0,1,ดอก,001
MG1#2023153#I-2023153-00001#80#1#P1050100201800,MG1#2023153#I-2023153-00001#80#1#P1050100201800,เหล็กข้ออ้อย,SD 50 DB32mm.ยาว 10.00 m.,762,I-2023153-00001,2023-08-24,P1050100201800#2023-08-24#I-2023153-00001#80#1,2023153,2023153#P1050100201800#2023-08-24#I-2023153-00001#80#1,001,P1050100201800,80,MG1,2023153,50,50,0,1,เส้น,001
MG1#2023153#I-2023153-00001#1581#1#P2400101600900,MG1#2023153#I-2023153-00001#1581#1#P2400101600900,มีด/ใบมีด/กรรไกร,"""กรรไกรตัดเหล็ก 32""""""",762,I-2023153-00001,2023-08-24,P2400101600900#2023-08-24#I-2023153-00001#1581#1,2023153,2023153#P2400101600900#2023-08-24#I-2023153-00001#1581#1,001,P2400101600900,1581,MG1,2023153,50,50,0,1,ใบ,001
MG1#2023153#I-2023153-00001#780#1#P1100100800500,MG1#2023153#I-2023153-00001#780#1#P1100100800500,เหล็ก H-BEAM,125x125x6.5x9 มม.6m. /เส้น,762,I-2023153-00001,2023-08-24,P1100100800500#2023-08-24#I-2023153-00001#780#1,2023153,2023153#P1100100800500#2023-08-24#I-2023153-00001#780#1,001,P1100100800500,780,MG1,2023153,50,50,0,1,เส้น,001
